State,County,,,,,,,,AOR,,"Activation
Date",,,Submissions,,,Misdemeanor Matches,Felony Matches,,,Total Matches,"Convicted
Criminals L1",Misdemeanor Returns,,"Convicted
Criminals L2",,"Convicted
Criminals L3",Felony Returns,,"ICE Fugitives
1,2",,,"Prior
Removals and Returns1,3",,,,"EWIs, Visa
Violators and Overstays1",No Criminal Conviction Return,,Total Returns
ME,York,,,,,,,,BOS,,5/30/2012,,,"1,352",,,6,9,,,15,0,,,0,,0,0,,0,,,0,,,,0,0,,0
MI,Barry,,,,,,,,DET,,4/12/2011,,,"2,008",,,0,15,,,15,2,,,2,,0,2,,0,,,0,,,,0,0,,4
MI,Branch,,,,,,,,DET,,9/27/2011,,,"1,225",,,5,10,,,15,1,,,0,,4,4,,0,,,0,,,,0,0,,5
MI,Midland,,,,,,,,DET,,6/21/2011,,,"2,657",,,2,13,,,15,0,,,0,,1,1,,0,,,0,,,,0,0,,1
MN,Goodhue,,,,,,,,SPM,,2/7/2012,,,"1,147",,,9,6,,,15,1,,,1,,0,1,,0,,,1,,,,0,1,,3
MN,Otter Tail,,,,,,,,SPM,,2/7/2012,,,"1,202",,,10,5,,,15,1,,,0,,0,0,,0,,,0,,,,0,0,,1
NC,Swain,,,,,,,,ATL,,7/13/2010,,,908,,,5,10,,,15,0,,,2,,2,4,,1,,,1,,,,0,2,,6
NY,Wayne,,,,,,,,BUF,,5/15/2012,,,"2,063",,,3,12,,,15,1,,,0,,0,0,,0,,,1,,,,1,2,,3
OH,Columbiana,,,,,,,,DET,,6/21/2011,,,"2,009",,,14,1,,,15,0,,,0,,0,0,,0,,,0,,,,0,0,,0
PA,Blair,,,,,,,,PHI,,5/30/2012,,,"2,294",,,3,12,,,15,0,,,0,,0,0,,0,,,0,,,,0,0,,0
SD,Lawrence,,,,,,,,SPM,,4/17/2012,,,"1,370",,,4,11,,,15,0,,,0,,2,2,,0,,,0,,,,0,0,,2
TN,Dyer,,,,,,,,NOL,,1/10/2012,,,"3,372",,,4,11,,,15,2,,,0,,0,0,,0,,,0,,,,0,0,,2
TN,Johnson,,,,,,,,NOL,,1/10/2012,,,"1,432",,,4,11,,,15,0,,,0,,0,0,,0,,,0,,,,1,1,,1
TX,McCulloch,,,,,,,,SNA,,6/22/2010,,,589,,,10,5,,,15,0,,,1,,1,2,,0,,,0,,,,0,0,,2
TX,Morris,,,,,,,,DAL,,7/7/2010,,,"1,193",,,5,10,,,15,1,,,1,,1,2,,1,,,0,,,,0,1,,4
TX,Oldham,,,,,,,,DAL,,9/28/2010,,,275,,,7,8,,,15,1,,,0,,0,0,,0,,,1,,,,0,1,,2
TX,San Jacinto,,,,,,,,HOU,,9/14/2010,,,"1,359",,,5,10,,,15,1,,,0,,0,0,,0,,,0,,,,0,0,,1
VA,Fluvanna,,,,,,,,WAS,,6/8/2010,,,"1,118",,,5,10,,,15,0,,,0,,2,2,,0,,,1,,,,0,1,,3
VA,Gloucester,,,,,,,,WAS,,6/8/2010,,,"2,282",,,4,11,,,15,0,,,0,,0,0,,0,,,0,,,,0,0,,0
VT,Bennington,,,,,,,,BOS,,5/22/2012,,,"2,296",,,0,15,,,15,0,,,0,,0,0,,0,,,0,,,,0,0,,0
VT,Rutland,,,,,,,,BOS,,5/22/2012,,,"3,072",,,2,13,,,15,0,,,0,,1,1,,0,,,0,,,,0,0,,1
WI,Langlade,,,,,,,,CHI,,1/11/2011,,,"1,193",,,1,14,,,15,0,,,0,,1,1,,0,,,0,,,,0,0,,1
CO,Gunnison,,,,,,,,DEN,,5/22/2012,,,380,,,4,10,,,14,1,,,3,,1,4,,0,,,0,,,,0,0,,5
GA,Chattooga,,,,,,,,ATL,,12/6/2011,,,"2,207",,,1,13,,,14,0,,,0,,0,0,,0,,,1,,,,0,1,,1
GA,Long,,,,,,,,ATL,,12/6/2011,,,779,,,2,12,,,14,0,,,1,,0,1,,0,,,0,,,,0,0,,1
IL,Kankakee,,,,,,,,CHI,,1/22/2013,,,650,,,2,12,,,14,0,,,0,,0,0,,0,,,0,,,,0,0,,0
IL,Pulaski,,,,,,,,CHI,,9/14/2010,,,"1,305",,,0,14,,,14,0,,,0,,0,0,,0,,,0,,,,0,0,,0
IN,Carroll,,,,,,,,CHI,,4/26/2011,,,793,,,1,13,,,14,0,,,0,,1,1,,0,,,0,,,,0,0,,1
KS,Hodgeman,,,,,,,,CHI,,12/27/2011,,,109,,,0,14,,,14,0,,,1,,0,1,,0,,,0,,,,0,0,,1
KS,Labette,,,,,,,,CHI,,12/27/2011,,,"1,686",,,1,13,,,14,0,,,0,,1,1,,0,,,1,,,,0,1,,2
KS,Morton,,,,,,,,CHI,,12/27/2011,,,144,,,2,12,,,14,0,,,0,,1,1,,0,,,0,,,,1,1,,2
KS,Scott,,,,,,,,CHI,,12/27/2011,,,147,,,2,12,,,14,0,,,1,,1,2,,0,,,0,,,,0,0,,2
KY,Hopkins,,,,,,,,CHI,,3/20/2012,,,"2,954",,,1,13,,,14,0,,,0,,0,0,,1,,,0,,,,0,1,,1
LA,Iberville Parish,,,,,,,,NOL,,5/1/2012,,,"2,085",,,6,8,,,14,0,,,0,,0,0,,0,,,0,,,,0,0,,0
LA,La Salle Parish,,,,,,,,NOL,,5/1/2012,,,555,,,11,3,,,14,4,,,0,,0,0,,0,,,0,,,,1,1,,5
ME,Kennebec,,,,,,,,BOS,,5/30/2012,,,979,,,3,11,,,14,0,,,0,,0,0,,0,,,0,,,,1,1,,1
MI,Leelanau,,,,,,,,DET,,9/27/2011,,,437,,,3,11,,,14,1,,,2,,0,2,,0,,,1,,,,0,1,,4
MN,Chisago,,,,,,,,SPM,,2/7/2012,,,"1,608",,,4,10,,,14,0,,,0,,1,1,,0,,,0,,,,0,0,,1
MN,Watonwan,,,,,,,,SPM,,2/7/2012,,,188,,,6,8,,,14,2,,,0,,1,1,,0,,,0,,,,0,0,,3
MO,Callaway,,,,,,,,CHI,,7/5/2011,,,"2,412",,,2,12,,,14,0,,,0,,1,1,,0,,,0,,,,0,0,,1
MO,Lafayette,,,,,,,,CHI,,11/8/2011,,,"1,186",,,2,12,,,14,0,,,1,,0,1,,1,,,0,,,,0,1,,2
MS,Prentiss,,,,,,,,NOL,,11/22/2011,,,"2,026",,,0,14,,,14,0,,,0,,0,0,,0,,,0,,,,0,0,,0
NV,Lander,,,,,,,,SLC,,6/1/2011,,,387,,,3,11,,,14,0,,,0,,0,0,,0,,,0,,,,0,0,,0
OH,Clinton,,,,,,,,DET,,4/5/2011,,,"1,959",,,2,12,,,14,1,,,1,,1,2,,0,,,0,,,,0,0,,3
OK,Okmulgee,,,,,,,,DAL,,12/14/2010,,,"3,104",,,2,12,,,14,2,,,1,,1,2,,0,,,1,,,,0,1,,5
OR,Sherman,,,,,,,,SEA,,9/27/2011,,,237,,,3,11,,,14,2,,,3,,0,3,,0,,,2,,,,0,2,,7
PA,Indiana,,,,,,,,PHI,,5/30/2012,,,"1,685",,,6,8,,,14,1,,,1,,0,1,,0,,,0,,,,0,0,,2
PA,Lycoming,,,,,,,,PHI,,5/30/2012,,,"1,849",,,4,10,,,14,0,,,0,,0,0,,0,,,0,,,,0,0,,0
SD,Codington,,,,,,,,SPM,,4/17/2012,,,852,,,4,10,,,14,0,,,1,,0,1,,0,,,0,,,,0,0,,1
SD,Meade,,,,,,,,SPM,,4/17/2012,,,"1,082",,,2,12,,,14,0,,,0,,0,0,,0,,,0,,,,0,0,,0
TN,Roane,,,,,,,,NOL,,12/28/2010,,,"7,720",,,1,13,,,14,1,,,1,,2,3,,0,,,1,,,,0,1,,5
TX,Cochran,,,,,,,,DAL,,9/21/2010,,,153,,,6,8,,,14,1,,,0,,1,1,,0,,,0,,,,1,1,,3
TX,Hansford,,,,,,,,DAL,,9/28/2010,,,160,,,3,11,,,14,1,,,1,,4,5,,0,,,0,,,,0,0,,6
TX,Runnels,,,,,,,,DAL,,8/10/2010,,,778,,,4,10,,,14,0,,,0,,0,0,,0,,,0,,,,0,0,,0
TX,Sutton,,,,,,,,DAL,,8/24/2010,,,307,,,6,8,,,14,1,,,0,,0,0,,0,,,0,,,,0,0,,1
UT,San Juan,,,,,,,,SLC,,12/20/2011,,,445,,,2,12,,,14,1,,,4,,0,4,,0,,,0,,,,0,0,,5
VA,Carroll,,,,,,,,WAS,,6/15/2010,,,"1,874",,,7,7,,,14,2,,,0,,2,2,,0,,,0,,,,0,0,,4
VA,Smyth,,,,,,,,WAS,,6/15/2010,,,"2,905",,,6,8,,,14,0,,,0,,2,2,,0,,,0,,,,0,0,,2
VA,Staunton City,,,,,,,,WAS,,6/8/2010,,,"2,382",,,6,8,,,14,0,,,2,,0,2,,0,,,0,,,,0,0,,2
VA,Washington,,,,,,,,WAS,,6/15/2010,,,"2,759",,,2,12,,,14,0,,,3,,1,4,,0,,,0,,,,0,0,,4
VA,Wise,,,,,,,,WAS,,6/15/2010,,,"4,274",,,5,9,,,14,1,,,1,,1,2,,0,,,1,,,,0,1,,4
WI,Iowa,,,,,,,,CHI,,1/11/2011,,,"1,853",,,3,11,,,14,0,,,1,,0,1,,0,,,0,,,,0,0,,1
AR,Howard,,,,,,,,NOL,,5/15/2012,,,404,,,2,11,,,13,1,,,0,,0,0,,0,,,0,,,,0,0,,1
CO,Lincoln,,,,,,,,DEN,,5/22/2012,,,282,,,4,9,,,13,0,,,2,,2,4,,0,,,0,,,,0,0,,4
GA,Fannin,,,,,,,,ATL,,12/6/2011,,,"1,453",,,0,13,,,13,0,,,0,,0,0,,0,,,0,,,,0,0,,0
GA,Wilkes,,,,,,,,ATL,,12/6/2011,,,683,,,0,13,,,13,0,,,0,,0,0,,0,,,0,,,,0,0,,0
ID,Bonner,,,,,,,,SLC,,5/3/2011,,,"2,403",,,5,8,,,13,0,,,0,,1,1,,0,,,0,,,,0,0,,1
IL,Franklin,,,,,,,,CHI,,9/14/2010,,,"3,934",,,4,9,,,13,0,,,0,,0,0,,0,,,0,,,,0,0,,0
IN,Decatur,,,,,,,,CHI,,12/13/2011,,,825,,,2,11,,,13,0,,,0,,1,1,,0,,,0,,,,0,0,,1
IN,Tipton,,,,,,,,CHI,,12/13/2011,,,504,,,1,12,,,13,0,,,0,,0,0,,0,,,2,,,,0,2,,2
KS,Neosho,,,,,,,,CHI,,12/27/2011,,,863,,,4,9,,,13,0,,,0,,1,1,,0,,,0,,,,0,0,,1
KY,Marshall,,,,,,,,CHI,,3/20/2012,,,"1,501",,,1,12,,,13,1,,,1,,0,1,,1,,,0,,,,0,1,,3
MS,Lauderdale,,,,,,,,NOL,,7/26/2011,,,"2,996",,,2,11,,,13,0,,,0,,0,0,,0,,,3,,,,0,3,,3
NC,Camden,,,,,,,,ATL,,3/15/2011,,,397,,,3,10,,,13,0,,,1,,0,1,,0,,,0,,,,0,0,,1
NC,Greene,,,,,,,,ATL,,1/19/2011,,,582,,,5,8,,,13,0,,,0,,3,3,,0,,,0,,,,1,1,,4
NC,Jones,,,,,,,,ATL,,1/19/2011,,,895,,,5,8,,,13,0,,,0,,3,3,,0,,,1,,,,0,1,,4
NC,Richmond,,,,,,,,ATL,,11/16/2010,,,"1,801",,,7,6,,,13,1,,,0,,0,0,,0,,,0,,,,1,1,,2
NY,Chemung,,,,,,,,BUF,,5/15/2012,,,"4,048",,,5,8,,,13,0,,,0,,0,0,,0,,,0,,,,0,0,,0
OH,Knox,,,,,,,,DET,,3/1/2011,,,"1,816",,,1,12,,,13,1,,,0,,1,1,,0,,,0,,,,0,0,,2
OH,Trumbull,,,,,,,,DET,,3/1/2011,,,"8,641",,,9,4,,,13,2,,,0,,1,1,,0,,,0,,,,0,0,,3
SD,Yankton,,,,,,,,SPM,,4/17/2012,,,914,,,4,9,,,13,0,,,0,,0,0,,0,,,0,,,,0,0,,0
TN,Bledsoe,,,,,,,,NOL,,1/10/2012,,,676,,,5,8,,,13,2,,,2,,0,2,,0,,,0,,,,0,0,,4
TN,DeKalb,,,,,,,,NOL,,1/10/2012,,,"1,507",,,2,11,,,13,0,,,0,,0,0,,0,,,1,,,,0,1,,1
TN,Fayette,,,,,,,,NOL,,1/10/2012,,,"1,514",,,2,11,,,13,0,,,1,,0,1,,0,,,0,,,,0,0,,1
TN,Grainger,,,,,,,,NOL,,1/10/2012,,,"1,245",,,1,12,,,13,0,,,0,,1,1,,0,,,0,,,,0,0,,1
TX,Mitchell,,,,,,,,DAL,,8/17/2010,,,770,,,3,10,,,13,0,,,0,,0,0,,0,,,1,,,,0,1,,1
UT,Beaver,,,,,,,,SLC,,6/8/2010,,,546,,,5,8,,,13,2,,,1,,0,1,,0,,,0,,,,0,0,,3
VA,Madison,,,,,,,,WAS,,6/8/2010,,,754,,,0,13,,,13,0,,,1,,0,1,,0,,,0,,,,0,0,,1
VA,Middlesex,,,,,,,,WAS,,6/2/2010,,,900,,,9,4,,,13,0,,,0,,1,1,,0,,,0,,,,0,0,,1
VA,Tazewell,,,,,,,,WAS,,6/15/2010,,,"6,865",,,4,9,,,13,0,,,1,,0,1,,0,,,1,,,,0,1,,2
WA,Klickitat,,,,,,,,SEA,,4/3/2012,,,506,,,2,11,,,13,0,,,1,,0,1,,0,,,0,,,,0,0,,1
WI,Sawyer,,,,,,,,CHI,,1/11/2011,,,"3,192",,,4,9,,,13,0,,,0,,1,1,,0,,,1,,,,0,1,,2
AK,Ketchikan Gateway Borough,,,,,,,,SEA,,4/10/2012,,,587,,,2,10,,,12,0,,,0,,0,0,,0,,,0,,,,0,0,,0
AL,Houston,,,,,,,,NOL,,1/22/2013,,,"1,625",,,3,9,,,12,0,,,0,,0,0,,0,,,0,,,,0,0,,0
AR,Clark,,,,,,,,NOL,,5/15/2012,,,825,,,1,11,,,12,0,,,0,,1,1,,1,,,2,,,,0,3,,4
CO,Saguache,,,,,,,,DEN,,5/22/2012,,,182,,,1,11,,,12,0,,,0,,0,0,,0,,,0,,,,0,0,,0
GA,Candler,,,,,,,,ATL,,12/6/2011,,,342,,,0,12,,,12,0,,,0,,0,0,,0,,,0,,,,0,0,,0
GA,Echols,,,,,,,,ATL,,12/6/2011,,,180,,,1,11,,,12,0,,,1,,1,2,,0,,,0,,,,0,0,,2
GA,Harris,,,,,,,,ATL,,12/6/2011,,,"1,121",,,1,11,,,12,1,,,0,,0,0,,0,,,1,,,,0,1,,2
IA,Poweshiek,,,,,,,,SPM,,1/24/2012,,,538,,,3,9,,,12,0,,,0,,0,0,,0,,,0,,,,0,0,,0
ID,Lincoln,,,,,,,,SLC,,11/29/2011,,,118,,,1,11,,,12,0,,,0,,2,2,,0,,,0,,,,0,0,,2
IL,Piatt,,,,,,,,CHI,,11/9/2010,,,922,,,0,12,,,12,0,,,0,,1,1,,0,,,1,,,,0,1,,2
IL,Washington,,,,,,,,CHI,,9/14/2010,,,801,,,1,11,,,12,0,,,0,,0,0,,0,,,1,,,,1,2,,2
IN,Vermillion,,,,,,,,CHI,,6/1/2011,,,783,,,3,9,,,12,0,,,0,,0,0,,0,,,0,,,,0,0,,0
IN,Whitley,,,,,,,,CHI,,12/13/2011,,,905,,,2,10,,,12,0,,,0,,0,0,,0,,,1,,,,0,1,,1
KS,Franklin,,,,,,,,CHI,,12/27/2011,,,"1,411",,,1,11,,,12,0,,,0,,0,0,,0,,,0,,,,0,0,,0
KY,Mercer,,,,,,,,CHI,,3/20/2012,,,631,,,3,9,,,12,0,,,2,,0,2,,0,,,0,,,,0,0,,2
MD,Caroline,,,,,,,,BAL,,2/8/2011,,,"1,753",,,0,12,,,12,0,,,0,,0,0,,0,,,2,,,,0,2,,2
MI,Cheboygan,,,,,,,,DET,,9/27/2011,,,"1,762",,,4,8,,,12,0,,,0,,2,2,,0,,,0,,,,0,0,,2
MI,Ogemaw,,,,,,,,DET,,9/27/2011,,,"3,306",,,1,11,,,12,0,,,0,,2,2,,0,,,0,,,,0,0,,2
MN,Morrison,,,,,,,,SPM,,2/7/2012,,,472,,,2,10,,,12,0,,,2,,0,2,,0,,,1,,,,0,1,,3
MN,Pipestone,,,,,,,,SPM,,2/7/2012,,,304,,,2,10,,,12,0,,,1,,1,2,,0,,,0,,,,0,0,,2
MO,Adair,,,,,,,,CHI,,1/25/2011,,,"1,800",,,1,11,,,12,0,,,0,,1,1,,0,,,0,,,,0,0,,1
MO,Warren,,,,,,,,CHI,,11/8/2011,,,"1,720",,,2,10,,,12,0,,,0,,0,0,,0,,,2,,,,0,2,,2
MS,Stone,,,,,,,,NOL,,7/26/2011,,,"1,448",,,2,10,,,12,0,,,1,,0,1,,0,,,0,,,,0,0,,1
MS,Wayne,,,,,,,,NOL,,7/26/2011,,,"1,638",,,1,11,,,12,0,,,2,,0,2,,0,,,0,,,,0,0,,2
NC,Clay,,,,,,,,ATL,,7/13/2010,,,"1,011",,,3,9,,,12,1,,,1,,1,2,,0,,,1,,,,0,1,,4
NE,Cass,,,,,,,,SPM,,3/6/2012,,,573,,,1,11,,,12,1,,,0,,0,0,,0,,,0,,,,0,0,,1
OH,Fulton,,,,,,,,DET,,7/12/2011,,,990,,,6,6,,,12,0,,,0,,1,1,,0,,,1,,,,2,3,,4
OK,Osage,,,,,,,,DAL,,12/7/2010,,,"1,758",,,1,11,,,12,0,,,0,,2,2,,0,,,0,,,,0,0,,2
PA,Columbia,,,,,,,,PHI,,5/30/2012,,,"1,016",,,0,12,,,12,0,,,0,,0,0,,0,,,0,,,,0,0,,0
PA,Pike,,,,,,,,PHI,,5/30/2012,,,607,,,2,10,,,12,0,,,1,,0,1,,0,,,0,,,,0,0,,1
PA,Union,,,,,,,,PHI,,5/30/2012,,,441,,,9,3,,,12,0,,,0,,0,0,,0,,,0,,,,0,0,,0
SD,Brookings,,,,,,,,SPM,,4/17/2012,,,750,,,3,9,,,12,0,,,1,,0,1,,0,,,0,,,,0,0,,1
TN,Smith,,,,,,,,NOL,,1/10/2012,,,"1,509",,,2,10,,,12,0,,,1,,2,3,,0,,,1,,,,0,1,,4
TN,Unicoi,,,,,,,,NOL,,1/10/2012,,,"1,267",,,5,7,,,12,0,,,0,,0,0,,0,,,0,,,,0,0,,0
TX,Collingsworth,,,,,,,,DAL,,9/28/2010,,,206,,,4,8,,,12,1,,,1,,0,1,,0,,,0,,,,0,0,,2
TX,Goliad,,,,,,,,HOU,,7/20/2010,,,504,,,4,8,,,12,0,,,1,,0,1,,0,,,0,,,,0,0,,1
TX,Hardeman,,,,,,,,DAL,,8/10/2010,,,346,,,1,11,,,12,0,,,0,,0,0,,0,,,0,,,,0,0,,0
TX,Rains,,,,,,,,DAL,,7/7/2010,,,867,,,3,9,,,12,0,,,0,,0,0,,0,,,1,,,,0,1,,1
TX,Stephens,,,,,,,,DAL,,8/10/2010,,,868,,,1,11,,,12,0,,,1,,1,2,,0,,,0,,,,1,1,,3
TX,Swisher,,,,,,,,DAL,,9/28/2010,,,400,,,5,7,,,12,2,,,0,,0,0,,0,,,1,,,,0,1,,3
TX,Trinity,,,,,,,,HOU,,9/14/2010,,,933,,,5,7,,,12,2,,,0,,0,0,,0,,,2,,,,0,2,,4
VA,Bristol City,,,,,,,,WAS,,6/15/2010,,,"2,595",,,2,10,,,12,0,,,0,,1,1,,0,,,0,,,,0,0,,1
VA,Essex,,,,,,,,WAS,,6/2/2010,,,"1,143",,,1,11,,,12,2,,,1,,0,1,,0,,,1,,,,0,1,,4
VA,Lee,,,,,,,,WAS,,6/15/2010,,,"2,455",,,4,8,,,12,0,,,0,,0,0,,0,,,0,,,,0,0,,0
VA,New Kent,,,,,,,,WAS,,6/2/2010,,,"1,251",,,4,8,,,12,0,,,0,,1,1,,0,,,0,,,,0,0,,1
VA,Norton City,,,,,,,,WAS,,6/15/2010,,,910,,,1,11,,,12,0,,,0,,1,1,,0,,,0,,,,0,0,,1
WA,Clallam,,,,,,,,SEA,,4/3/2012,,,"1,482",,,6,6,,,12,0,,,0,,1,1,,0,,,1,,,,0,1,,2
WA,Skamania,,,,,,,,SEA,,4/3/2012,,,548,,,3,9,,,12,2,,,1,,0,1,,0,,,2,,,,0,2,,5
WY,Uinta,,,,,,,,DEN,,5/15/2012,,,278,,,4,8,,,12,1,,,0,,1,1,,0,,,0,,,,0,0,,2
AR,Arkansas,,,,,,,,NOL,,5/15/2012,,,983,,,0,11,,,11,0,,,1,,0,1,,0,,,0,,,,0,0,,1
AR,Ashley,,,,,,,,NOL,,5/15/2012,,,702,,,1,10,,,11,0,,,0,,0,0,,0,,,0,,,,0,0,,0
AR,Baxter,,,,,,,,NOL,,5/15/2012,,,"1,385",,,2,9,,,11,0,,,0,,0,0,,0,,,1,,,,0,1,,1
CO,Huerfano,,,,,,,,DEN,,5/22/2012,,,396,,,2,9,,,11,0,,,0,,0,0,,0,,,0,,,,0,0,,0
CO,Washington,,,,,,,,DEN,,5/22/2012,,,242,,,1,10,,,11,0,,,0,,1,1,,0,,,0,,,,0,0,,1
GA,Miller,,,,,,,,ATL,,12/6/2011,,,714,,,2,9,,,11,1,,,0,,0,0,,0,,,0,,,,0,0,,1
IA,Cass,,,,,,,,SPM,,1/24/2012,,,435,,,4,7,,,11,1,,,0,,2,2,,0,,,0,,,,0,0,,3
IL,Massac,,,,,,,,CHI,,9/14/2010,,,"1,604",,,1,10,,,11,0,,,0,,0,0,,0,,,0,,,,0,0,,0
KS,Cherokee,,,,,,,,CHI,,12/27/2011,,,"1,106",,,1,10,,,11,0,,,0,,1,1,,0,,,0,,,,0,0,,1
KS,Cloud,,,,,,,,CHI,,12/27/2011,,,566,,,2,9,,,11,0,,,0,,0,0,,0,,,0,,,,0,0,,0
KS,Miami,,,,,,,,CHI,,3/15/2011,,,825,,,1,10,,,11,0,,,0,,0,0,,0,,,0,,,,0,0,,0
KS,Mitchell,,,,,,,,CHI,,12/27/2011,,,570,,,0,11,,,11,0,,,0,,0,0,,0,,,0,,,,0,0,,0
KS,Stanton,,,,,,,,CHI,,12/27/2011,,,46,,,0,11,,,11,0,,,0,,0,0,,0,,,0,,,,0,0,,0
KY,Monroe,,,,,,,,CHI,,3/20/2012,,,437,,,0,11,,,11,0,,,0,,1,1,,0,,,1,,,,0,1,,2
LA,Natchitoches Parish,,,,,,,,NOL,,5/1/2012,,,"2,483",,,3,8,,,11,0,,,0,,0,0,,0,,,0,,,,0,0,,0
LA,Saint Martin Parish,,,,,,,,NOL,,5/1/2012,,,"1,917",,,3,8,,,11,0,,,1,,0,1,,0,,,0,,,,0,0,,1
MN,Chippewa,,,,,,,,SPM,,2/7/2012,,,210,,,3,8,,,11,0,,,0,,0,0,,1,,,0,,,,0,1,,1
MN,Renville,,,,,,,,SPM,,2/7/2012,,,377,,,2,9,,,11,0,,,0,,0,0,,0,,,0,,,,0,0,,0
MO,Laclede,,,,,,,,CHI,,4/19/2011,,,"2,062",,,5,6,,,11,0,,,1,,2,3,,0,,,0,,,,0,0,,3
MO,Perry,,,,,,,,CHI,,1/25/2011,,,"1,309",,,5,6,,,11,1,,,1,,0,1,,0,,,0,,,,0,0,,2
MO,Saint Francois,,,,,,,,CHI,,7/19/2011,,,"3,181",,,3,8,,,11,0,,,0,,1,1,,0,,,0,,,,0,0,,1
MO,Sullivan,,,,,,,,CHI,,5/10/2011,,,218,,,2,9,,,11,0,,,0,,0,0,,0,,,1,,,,0,1,,1
MO,Webster,,,,,,,,CHI,,4/5/2011,,,"1,834",,,3,8,,,11,0,,,0,,0,0,,1,,,0,,,,0,1,,1
MS,Panola,,,,,,,,NOL,,11/22/2011,,,"1,097",,,1,10,,,11,1,,,0,,0,0,,0,,,0,,,,0,0,,1
NC,Alexander,,,,,,,,ATL,,10/13/2010,,,894,,,3,8,,,11,0,,,1,,0,1,,0,,,1,,,,0,1,,2
ND,Mountrail,,,,,,,,SPM,,4/10/2012,,,718,,,0,11,,,11,0,,,0,,0,0,,0,,,0,,,,0,0,,0
NE,Phelps,,,,,,,,SPM,,3/6/2012,,,261,,,2,9,,,11,0,,,0,,1,1,,1,,,0,,,,1,2,,3
NE,Saunders,,,,,,,,SPM,,5/3/2011,,,"1,084",,,1,10,,,11,1,,,0,,0,0,,0,,,0,,,,0,0,,1
NE,York,,,,,,,,SPM,,3/6/2012,,,939,,,2,9,,,11,1,,,0,,0,0,,0,,,0,,,,0,0,,1
NH,Carroll,,,,,,,,BOS,,5/8/2012,,,877,,,4,7,,,11,0,,,0,,0,0,,0,,,0,,,,0,0,,0
OH,Athens,,,,,,,,DET,,1/19/2011,,,"1,448",,,4,7,,,11,0,,,1,,0,1,,0,,,0,,,,0,0,,1
OK,Kingfisher,,,,,,,,DAL,,11/15/2011,,,243,,,0,11,,,11,0,,,0,,0,0,,0,,,0,,,,0,0,,0
OK,Lincoln,,,,,,,,DAL,,11/30/2010,,,"2,694",,,0,11,,,11,0,,,1,,0,1,,0,,,1,,,,0,1,,2
PA,Butler,,,,,,,,PHI,,5/30/2012,,,"2,757",,,3,8,,,11,0,,,1,,0,1,,0,,,0,,,,0,0,,1
PA,Clearfield,,,,,,,,PHI,,5/30/2012,,,898,,,3,8,,,11,1,,,0,,0,0,,0,,,0,,,,0,0,,1
TN,Henry,,,,,,,,NOL,,1/10/2012,,,"2,529",,,1,10,,,11,0,,,0,,0,0,,0,,,0,,,,0,0,,0
TX,Coleman,,,,,,,,DAL,,8/10/2010,,,463,,,4,7,,,11,1,,,0,,0,0,,0,,,0,,,,0,0,,1
TX,Schleicher,,,,,,,,DAL,,8/24/2010,,,202,,,0,11,,,11,0,,,0,,0,0,,0,,,0,,,,0,0,,0
TX,Tyler,,,,,,,,HOU,,7/20/2010,,,"1,261",,,2,9,,,11,0,,,1,,0,1,,0,,,0,,,,0,0,,1
VA,Floyd,,,,,,,,WAS,,6/15/2010,,,621,,,4,7,,,11,2,,,1,,1,2,,0,,,1,,,,0,1,,5
WI,Pepin,,,,,,,,CHI,,1/11/2011,,,396,,,0,11,,,11,0,,,0,,1,1,,0,,,0,,,,0,0,,1
AR,Lonoke,,,,,,,,NOL,,5/15/2012,,,"1,568",,,3,7,,,10,0,,,0,,0,0,,0,,,0,,,,0,0,,0
GA,Wilcox,,,,,,,,ATL,,12/6/2011,,,315,,,6,4,,,10,1,,,1,,0,1,,0,,,1,,,,0,1,,3
IA,Plymouth,,,,,,,,SPM,,1/24/2012,,,508,,,4,6,,,10,0,,,0,,0,0,,0,,,0,,,,0,0,,0
IA,Winneshiek,,,,,,,,SPM,,1/24/2012,,,344,,,3,7,,,10,0,,,1,,0,1,,0,,,0,,,,0,0,,1
ID,Minidoka,,,,,,,,SLC,,11/29/2011,,,127,,,1,9,,,10,0,,,0,,2,2,,0,,,1,,,,0,1,,3
ID,Nez Perce,,,,,,,,SLC,,11/29/2011,,,"2,626",,,0,10,,,10,0,,,0,,0,0,,0,,,0,,,,0,0,,0
IN,Fulton,,,,,,,,CHI,,4/5/2011,,,566,,,0,10,,,10,0,,,0,,0,0,,0,,,0,,,,0,0,,0
IN,Harrison,,,,,,,,CHI,,12/13/2011,,,900,,,1,9,,,10,2,,,2,,2,4,,0,,,0,,,,0,0,,6
KS,Allen,,,,,,,,CHI,,12/27/2011,,,672,,,2,8,,,10,0,,,0,,0,0,,0,,,0,,,,0,0,,0
KS,Marshall,,,,,,,,CHI,,12/27/2011,,,404,,,0,10,,,10,0,,,1,,0,1,,0,,,0,,,,0,0,,1
KY,Henderson,,,,,,,,CHI,,3/20/2012,,,"2,787",,,0,10,,,10,1,,,0,,0,0,,0,,,0,,,,0,0,,1
MA,Franklin,,,,,,,,BOS,,5/15/2012,,,642,,,4,6,,,10,1,,,0,,0,0,,0,,,0,,,,0,0,,1
MI,Wexford,,,,,,,,DET,,9/27/2011,,,"2,404",,,2,8,,,10,0,,,1,,0,1,,0,,,0,,,,0,0,,1
