State,County,,,,,,,,AOR,,"Activation
Date",,,Submissions,,,Misdemeanor Matches,Felony Matches,,,Total Matches,"Convicted
Criminals L1",Misdemeanor Returns,,"Convicted
Criminals L2",,"Convicted
Criminals L3",Felony Returns,,"ICE Fugitives
1,2",,,"Prior
Removals and Returns1,3",,,,"EWIs, Visa
Violators and Overstays1",No Criminal Conviction Return,,Total Returns
CA,Napa,,,,,,,,SFR,,8/10/2010,,,"15,390",,,278,"1,282",,,"1,560",52,,,63,,136,199,,4,,,127,,,,7,138,,389
WA,Yakima,,,,,,,,SEA,,6/21/2011,,,"15,793",,,352,"1,206",,,"1,558",108,,,94,,165,259,,3,,,49,,,,30,82,,449
TX,Reeves,,,,,,,,ELP,,7/7/2010,,,"2,789",,,712,817,,,"1,529",21,,,29,,29,58,,0,,,0,,,,0,0,,79
WI,Milwaukee,,,,,,,,CHI,,1/11/2011,,,"80,941",,,405,"1,119",,,"1,524",38,,,33,,67,100,,7,,,42,,,,5,54,,192
MD,Baltimore City,,,,,,,,BAL,,2/21/2012,,,"92,736",,,540,941,,,"1,481",29,,,13,,19,32,,9,,,19,,,,2,30,,91
CT,Hartford,,,,,,,,BOS,,2/21/2012,,,"42,312",,,161,"1,281",,,"1,442",9,,,1,,9,10,,2,,,8,,,,2,12,,31
MD,Baltimore,,,,,,,,BAL,,12/14/2010,,,"57,113",,,411,"1,021",,,"1,432",32,,,14,,37,51,,14,,,24,,,,10,48,,131
FL,Clay,,,,,,,,MIA,,2/10/2009,,,"32,923",,,102,"1,289",,,"1,391",16,,,17,,45,62,,8,,,8,,,,0,16,,94
FL,Sarasota,,,,,,,,MIA,,4/6/2010,,,"43,421",,,309,"1,071",,,"1,380",28,,,13,,31,44,,7,,,39,,,,4,50,,122
TX,Williamson,,,,,,,,SNA,,1/26/2010,,,"30,247",,,276,"1,097",,,"1,373",78,,,93,,158,251,,2,,,17,,,,6,25,,354
ID,Ada,,,,,,,,SLC,,6/3/2010,,,"53,305",,,334,"1,038",,,"1,372",67,,,56,,26,82,,0,,,5,,,,0,5,,154
NE,Douglas,,,,,,,,SPM,,8/17/2010,,,"26,349",,,249,"1,107",,,"1,356",71,,,70,,73,143,,5,,,19,,,,6,30,,244
FL,Volusia,,,,,,,,MIA,,4/13/2010,,,"77,299",,,323,"1,000",,,"1,323",16,,,18,,17,35,,6,,,19,,,,14,39,,90
FL,Seminole,,,,,,,,MIA,,6/22/2010,,,"49,230",,,316,"1,002",,,"1,318",17,,,11,,36,47,,6,,,10,,,,2,18,,82
GA,Hall,,,,,,,,ATL,,10/13/2010,,,"19,987",,,273,"1,038",,,"1,311",84,,,51,,87,138,,8,,,40,,,,24,72,,294
CA,Kings,,,,,,,,SFR,,9/14/2010,,,"21,070",,,301,994,,,"1,295",75,,,51,,49,100,,1,,,65,,,,9,75,,250
TX,Starr,,,,,,,,SNA,,6/9/2009,,,"6,973",,,492,800,,,"1,292",106,,,83,,100,183,,1,,,75,,,,22,98,,387
MA,Essex,,,,,,,,BOS,,5/15/2012,,,"17,811",,,438,845,,,"1,283",12,,,4,,12,16,,24,,,20,,,,10,54,,82
CA,Yolo,,,,,,,,SFR,,7/27/2010,,,"21,785",,,289,985,,,"1,274",51,,,67,,97,164,,1,,,20,,,,6,27,,242
IA,Polk,,,,,,,,SPM,,8/31/2010,,,"30,922",,,412,849,,,"1,261",53,,,26,,59,85,,4,,,11,,,,4,19,,157
TX,Willacy,,,,,,,,SNA,,6/15/2009,,,"2,457",,,682,566,,,"1,248",10,,,1,,2,3,,0,,,1,,,,0,1,,14
MI,Macomb,,,,,,,,DET,,8/10/2010,,,"74,050",,,338,909,,,"1,247",21,,,14,,19,33,,13,,,21,,,,9,43,,97
NC,Catawba,,,,,,,,ATL,,1/28/2009,,,"22,883",,,86,"1,153",,,"1,239",26,,,30,,37,67,,4,,,33,,,,14,51,,144
NJ,Essex,,,,,,,,NEW,,2/21/2012,,,"29,818",,,560,646,,,"1,206",10,,,4,,4,8,,7,,,14,,,,3,24,,42
ID,Canyon,,,,,,,,SLC,,6/3/2010,,,"25,384",,,233,957,,,"1,190",86,,,126,,61,187,,2,,,21,,,,4,27,,300
WA,Snohomish,,,,,,,,SEA,,4/3/2012,,,"32,531",,,404,786,,,"1,190",37,,,38,,39,77,,2,,,15,,,,7,24,,138
NJ,Hudson,,,,,,,,NEW,,2/21/2012,,,"11,622",,,607,573,,,"1,180",4,,,1,,10,11,,3,,,7,,,,2,12,,27
AR,Washington,,,,,,,,NOL,,8/24/2010,,,"27,152",,,210,960,,,"1,170",51,,,32,,47,79,,4,,,26,,,,7,37,,167
TN,Knox,,,,,,,,NOL,,6/17/2010,,,"56,069",,,152,"1,013",,,"1,165",48,,,44,,124,168,,22,,,63,,,,9,94,,310
TX,Potter,,,,,,,,DAL,,5/4/2010,,,"27,568",,,298,859,,,"1,157",38,,,35,,50,85,,3,,,27,,,,9,39,,162
AR,Benton,,,,,,,,NOL,,8/24/2010,,,"26,012",,,143,980,,,"1,123",42,,,18,,34,52,,14,,,33,,,,16,63,,157
NY,Rockland,,,,,,,,NYC,,1/11/2011,,,"9,732",,,349,772,,,"1,121",26,,,12,,24,36,,15,,,23,,,,8,46,,108
NC,Gaston,,,,,,,,ATL,,11/17/2008,,,"39,017",,,82,"1,037",,,"1,119",28,,,28,,77,105,,18,,,56,,,,29,103,,236
FL,Martin,,,,,,,,MIA,,6/22/2010,,,"17,841",,,218,897,,,"1,115",45,,,53,,64,117,,10,,,17,,,,40,67,,229
VA,Henrico,,,,,,,,WAS,,4/20/2010,,,"33,560",,,233,848,,,"1,081",67,,,35,,51,86,,6,,,14,,,,3,23,,176
NJ,Middlesex,,,,,,,,NEW,,2/21/2012,,,"12,800",,,426,635,,,"1,061",11,,,4,,8,12,,5,,,24,,,,1,30,,53
SD,Minnehaha,,,,,,,,SPM,,6/22/2010,,,"26,476",,,266,794,,,"1,060",22,,,19,,17,36,,3,,,5,,,,2,10,,68
FL,Charlotte,,,,,,,,MIA,,2/18/2009,,,"32,724",,,183,874,,,"1,057",27,,,13,,34,47,,4,,,16,,,,2,22,,96
NE,Hall,,,,,,,,SPM,,11/2/2010,,,"7,574",,,95,962,,,"1,057",25,,,35,,40,75,,1,,,15,,,,7,23,,123
TX,Howard,,,,,,,,DAL,,8/24/2010,,,"4,797",,,499,556,,,"1,055",15,,,17,,10,27,,0,,,0,,,,0,0,,42
NC,New Hanover,,,,,,,,ATL,,1/6/2009,,,"14,473",,,169,881,,,"1,050",54,,,36,,52,88,,12,,,54,,,,15,81,,223
TX,Bastrop,,,,,,,,SNA,,6/22/2010,,,"9,481",,,330,714,,,"1,044",67,,,59,,75,134,,1,,,22,,,,3,26,,227
NY,Orange,,,,,,,,NYC,,2/22/2011,,,"27,576",,,320,717,,,"1,037",15,,,12,,20,32,,5,,,27,,,,8,40,,87
MO,Jackson,,,,,,,,CHI,,11/16/2010,,,"50,951",,,243,792,,,"1,035",43,,,23,,57,80,,20,,,40,,,,10,70,,193
KS,Wyandotte,,,,,,,,CHI,,3/15/2011,,,"20,525",,,145,881,,,"1,026",25,,,23,,68,91,,22,,,56,,,,18,96,,212
AZ,Santa Cruz,,,,,,,,PHO,,11/17/2009,,,"4,438",,,317,699,,,"1,016",35,,,27,,58,85,,0,,,19,,,,12,31,,151
MD,Anne Arundel,,,,,,,,BAL,,12/28/2010,,,"41,387",,,210,805,,,"1,015",23,,,16,,30,46,,20,,,25,,,,6,51,,120
DE,New Castle,,,,,,,,PHI,,4/20/2010,,,"41,690",,,151,854,,,"1,005",53,,,21,,24,45,,2,,,21,,,,1,24,,122
VA,Alexandria City,,,,,,,,WAS,,3/30/2010,,,"8,992",,,293,710,,,"1,003",44,,,35,,18,53,,6,,,12,,,,4,22,,119
VA,Chesterfield,,,,,,,,WAS,,5/11/2010,,,"26,672",,,233,767,,,"1,000",29,,,26,,21,47,,3,,,8,,,,0,11,,87
SC,Horry,,,,,,,,ATL,,9/8/2010,,,"35,286",,,196,795,,,991,30,,,72,,56,128,,2,,,15,,,,3,20,,178
TX,Galveston,,,,,,,,HOU,,9/22/2009,,,"37,590",,,242,746,,,988,56,,,38,,74,112,,3,,,11,,,,2,16,,184
OH,Cuyahoga,,,,,,,,DET,,1/19/2010,,,"149,950",,,399,582,,,981,40,,,11,,15,26,,7,,,10,,,,8,25,,91
CA,Placer,,,,,,,,SFR,,7/27/2010,,,"30,453",,,237,738,,,975,36,,,36,,38,74,,2,,,26,,,,1,29,,139
LA,Orleans Parish,,,,,,,,NOL,,5/11/2010,,,"51,660",,,219,753,,,972,21,,,25,,48,73,,55,,,69,,,,16,140,,234
WA,Franklin,,,,,,,,SEA,,7/12/2011,,,"7,668",,,261,705,,,966,80,,,81,,122,203,,0,,,6,,,,5,11,,294
FL,Lake,,,,,,,,MIA,,12/8/2009,,,"33,020",,,209,751,,,960,31,,,22,,25,47,,3,,,31,,,,3,37,,115
UT,Utah,,,,,,,,SLC,,3/30/2010,,,"28,728",,,238,722,,,960,113,,,60,,52,112,,0,,,15,,,,5,20,,245
GA,Cherokee,,,,,,,,ATL,,11/16/2010,,,"16,986",,,120,836,,,956,30,,,33,,56,89,,5,,,24,,,,3,32,,151
GA,Whitfield,,,,,,,,ATL,,10/13/2010,,,"14,108",,,177,752,,,929,54,,,62,,74,136,,2,,,47,,,,15,64,,254
FL,Pasco,,,,,,,,MIA,,6/22/2010,,,"62,815",,,333,594,,,927,6,,,9,,16,25,,3,,,29,,,,7,39,,70
AZ,Yavapai,,,,,,,,PHO,,1/16/2009,,,"25,208",,,178,748,,,926,94,,,44,,108,152,,2,,,76,,,,41,119,,365
NJ,Passaic,,,,,,,,NEW,,2/21/2012,,,"11,456",,,430,496,,,926,4,,,5,,6,11,,2,,,7,,,,6,15,,30
